length,width,contrast,dissimilarity,homogenity,energy,correlation,ASM,R,G,B,H,S,V,grey,l,A,V,roundness,solidity,sf1,sf2,sf3,Area,category
1.015961902,0.298725362,158.5870499,6.097508019,0.383132948,0.123074744,0.882929222,0.015519365,145,115,123,115,71,149,126.2425214,132,143,123,1.758622296,0.000143351,4.554780101,1.339251335,0.936247849,0.223053996,121
1.10771046,0.329191497,96.57257419,4.868258413,0.423705715,0.166375383,0.927493201,0.02791966,142,113,123,108,72,148,124.3034188,130,143,123,1.921830454,0.000138629,4.537461332,1.348451369,0.852842428,0.244125598,121
1.059733751,0.282965541,88.55307643,4.742626232,0.378174103,0.123089345,0.930723118,0.01530438,148,117,123,115,68,151,128.9706197,134,143,123,1.876055488,0.000140538,4.944624458,1.320292322,0.91046547,0.214320372,121
0.973385228,0.3080333,126.0054386,5.367345812,0.381953446,0.130589412,0.897601987,0.017284724,147,116,123,114,70,151,128.162037,134,143,123,1.806107807,0.000142041,4.498087344,1.423445362,0.919400616,0.216399806,121
1.108901496,0.308028193,125.934233,5.35818515,0.406434045,0.142507413,0.904412925,0.02051953,145,115,123,112,70,149,126.3793706,132,143,123,1.932780591,0.000140711,4.642519408,1.289588725,0.89081218,0.238857697,121
1.022653602,0.308028193,131.2765301,5.453057249,0.409605912,0.146914858,0.894231944,0.021826164,144,114,123,113,70,148,125.3929453,131,143,123,1.801725122,0.000223512,4.363745493,1.314381173,0.947720907,0.234352256,121
0.989706674,0.29664949,137.8711612,5.523615812,0.415251384,0.152805685,0.884013406,0.023777535,146,116,122,116,70,151,127.822028,133,143,122,1.784447138,0.00014034,4.704612252,1.410135813,0.912773245,0.210369446,121
0.973385228,0.258747972,167.7240923,6.089997206,0.39768471,0.133892584,0.883948194,0.018209859,157,126,120,125,63,160,138.2366453,143,144,120,1.986454521,0.000146884,5.637506499,1.498577677,0.873305777,0.172662369,121
1.047295857,0.27106481,169.5822006,6.458105055,0.347960261,0.095111828,0.875535736,0.00925593,148,117,122,119,66,151,129.4136396,135,143,122,2.024753345,0.000141566,5.139230385,1.330153747,0.914448213,0.203784571,121
1.047295857,0.308028193,161.1012417,6.109458199,0.36539027,0.109366928,0.886553112,0.012135512,149,117,124,115,71,151,128.7896853,134,144,124,1.712341546,0.000141523,4.612129833,1.356508774,0.896681791,0.227074236,121
0.973369091,0.320349321,139.5054745,5.768116628,0.377464016,0.112054649,0.891040359,0.012810224,147,116,124,115,72,150,127.7769231,133,143,124,1.689462453,0.000142956,4.33687334,1.427325403,0.916916519,0.224440286,121
0.99727567,0.301190656,145.8852282,5.697986289,0.368662758,0.103905055,0.895861035,0.010985671,148,117,123,117,70,151,129.241958,135,143,123,1.80290987,0.000137383,4.832951323,1.459616258,0.875137769,0.206349206,121
1.059616985,0.308028193,144.2363416,5.858981967,0.35987691,0.103954533,0.892764684,0.011003798,146,115,123,114,69,149,126.9676573,132,143,123,1.781833559,0.000143015,4.381511677,1.273695255,0.943878082,0.24183822,121
1.084277216,0.295711968,134.6900662,5.621504668,0.390375382,0.134480481,0.892714208,0.018406309,145,115,123,114,67,148,126.206993,132,143,123,1.935624276,0.00014036,4.594087342,1.252932911,0.937696282,0.236015804,121
0.911763452,0.27106481,132.3291693,5.557325813,0.386908263,0.109913304,0.887761266,0.012310302,149,120,120,125,62,153,131.8473776,137,143,120,1.813166995,0.000149619,5.032138992,1.496041322,0.933909029,0.18118805,121
0.973385228,0.3080333,123.2219082,5.286122385,0.384486202,0.122301608,0.89433774,0.01524983,148,116,123,115,69,150,128.2456294,134,143,123,1.784244863,0.000140764,4.260627636,1.348299885,0.970642034,0.228460525,121
1.033647721,0.30093856,134.1021883,5.716526319,0.35618506,0.097252893,0.896497088,0.009684957,148,117,123,115,69,151,128.6762238,134,143,123,1.83727619,0.000141023,4.602603601,1.340012534,0.919705813,0.224578915,121
1.027028878,0.29162029,150.1651276,5.794440398,0.400526392,0.144244047,0.877832039,0.021080407,146,116,123,117,69,150,127.6096154,133,143,123,1.824966227,0.000141543,4.765823615,1.353234455,0.916589,0.215498718,121
1.059634552,0.3080333,149.7329335,5.926791491,0.3711075,0.109670128,0.891595584,0.012205636,147,116,124,116,70,149,127.5791958,133,143,124,1.794939531,0.000140907,4.577050205,1.33053785,0.903539198,0.231510363,121
1.009595681,0.284374001,140.6131223,5.628881105,0.398473015,0.139036241,0.882772294,0.019620449,147,117,122,118,67,151,128.6500433,134,143,122,1.831981183,0.000141501,4.847067182,1.365279104,0.924190322,0.208290012,121
1.088571071,0.287783157,104.2700795,4.905889326,0.422352862,0.136454295,0.917147531,0.018868462,155,123,125,113,69,157,134.7520408,140,143,125,2.042955744,0.00013891,5.293163075,1.399341962,0.836276123,0.205656062,121
1.087453563,0.324986122,131.4880966,5.760841997,0.38379729,0.117248045,0.90701449,0.013937161,142,110,126,109,75,143,121.367551,127,143,126,1.8284663,0.0001423,4.448169139,1.329337904,0.881219776,0.24447217,121
0.984800094,0.315346277,135.3045318,5.580056124,0.415848518,0.157690342,0.900569842,0.025144464,145,114,124,115,71,147,125.3564,131,143,124,1.748880822,0.000144976,4.676665886,1.497531511,0.863786261,0.21057739,121
1.020856752,0.293551117,136.812028,5.672031726,0.392140934,0.132518134,0.892631393,0.017791175,144,112,124,113,72,146,124.192,130,143,124,1.792424452,0.000140797,4.825655425,1.38763498,0.8992704,0.211547792,121
1.09884356,0.299684612,177.0811048,6.898502138,0.353167221,0.105599346,0.878390247,0.011386915,142,110,125,109,72,144,121.8445545,127,143,125,1.897378034,0.000140845,4.454345615,1.214821549,0.954293551,0.246690234,121
0.998923304,0.28719045,121.6777251,5.300945508,0.420152859,0.158636955,0.903336933,0.025445693,146,115,124,116,69,148,126.8359264,132,143,124,1.842917768,0.000142406,5.16540018,1.485052552,0.858729487,0.193387399,121
1.066170073,0.298640103,154.1573822,6.21235001,0.366493495,0.107460531,0.889112964,0.011772513,146,113,126,111,74,148,125.3574459,131,143,126,1.93314821,0.000137294,4.823341375,1.351044455,0.884370436,0.221043876,121
0.949863253,0.286345644,143.5533246,5.664047837,0.421351946,0.158619756,0.891283606,0.025496187,146,115,123,118,70,148,126.6936634,132,143,123,1.814773176,0.000139612,5.079198349,1.531174427,0.87587996,0.187010466,121
0.948973134,0.287189238,77.4995831,4.125768906,0.45564678,0.175951837,0.93596856,0.03124326,146,115,124,117,71,148,126.6923529,132,143,124,1.829241075,0.00013763,5.227504926,1.58200807,0.848531035,0.181534623,121
1.073257479,0.299014116,165.7124279,6.386173989,0.382584088,0.134951342,0.887817939,0.018443868,143,112,124,111,72,145,123.4241176,129,143,124,1.896558529,0.000140858,4.71207719,1.312804822,0.904120375,0.227767381,121
1.132961819,0.25701269,157.8654506,6.21766776,0.384377551,0.123083143,0.886929216,0.015434344,142,113,122,116,67,146,124.0698039,130,143,122,2.160763466,0.00014062,5.785925722,1.312538789,0.856649019,0.195813405,121
1.011409845,0.299676991,82.65053834,4.410962811,0.443275873,0.168303564,0.934401555,0.028606249,146,114,124,113,71,148,126.0119608,131,143,124,1.707256341,0.000139847,4.889949676,1.448873978,0.869305754,0.206834408,121
1.010373701,0.299369986,58.55473661,3.516151008,0.454149582,0.163333871,0.932480566,0.026935613,147,116,123,113,70,151,128.069703,134,143,123,2.061090765,0.000141508,5.814384279,1.722780527,0.731843728,0.173771401,121
0.984417696,0.28660262,91.29359526,4.605231379,0.435740092,0.16323191,0.933055048,0.026867976,143,113,123,113,70,146,124.4278431,130,143,123,1.723653015,0.000143152,4.773846754,1.389854118,0.93106867,0.206210577,121
0.947034745,0.299063604,105.7803775,4.885967805,0.42575966,0.159212024,0.916254615,0.025602142,145,115,123,118,69,148,126.5436371,132,143,123,1.705878114,0.000143845,4.857045954,1.533803985,0.876989853,0.194981632,121
